survey,filter,magnitudes,errors
GALEX,NUV,20.084067342282903,0.03152831709769697
PS1,i,18.875000402017417,0.05934389557163386
GALEX,FUV,21.586563380473493,0.07050319686237311
SDSS,u,19.113029697330358,0.5630001721501671
PS1,z,18.3691521712428,0.06908819065081348
UKIDSS,Y,21.790343438175135,0.6526485538994685
2MASS,Ks,25.875402353466605,0.012116430159516304
PS1,g,19.000336633519613,0.0693682957095684
PS1,r,20.19529535816604,0.16303737352781714
