name z ra dec
SN2006ob 0.0592 27.9505 0.2634
time flux flux_err zp band mag_sys
54060.129 1.7265975920389592e-16 2.544408241298126e-18 -21.04202217275901 Swope_V CSP_VEGA
54065.066 1.9106939607088822e-16 2.287758424225052e-18 -21.04202217275901 Swope_V CSP_VEGA
54073.095 1.2953619349972355e-16 3.4599100546056056e-18 -21.04202217275901 Swope_V CSP_VEGA
54075.123 1.1608901623410611e-16 3.1007361235955598e-18 -21.04202217275901 Swope_V CSP_VEGA
54079.135 8.363559114614773e-17 1.8487494280018994e-18 -21.04202217275901 Swope_V CSP_VEGA
54084.069 5.1190707379542877e-17 1.933083739276074e-18 -21.04202217275901 Swope_V CSP_VEGA
54092.066 2.6472266781576984e-17 1.1947110786328045e-18 -21.04202217275901 Swope_V CSP_VEGA
54104.07 1.8146427206285002e-17 2.0056172532620843e-18 -21.04202217275901 Swope_V CSP_VEGA
54112.059 1.623271377196831e-17 1.0017090873046466e-18 -21.04202217275901 Swope_V CSP_VEGA
54121.08 1.3279787661627276e-17 1.4432741002876514e-18 -21.04202217275901 Swope_V CSP_VEGA
54060.137 2.730886654107339e-16 3.018287472193894e-18 -20.496240812372445 Swope_B CSP_VEGA
54065.072 2.799649573969814e-16 3.610001569792813e-18 -20.496240812372445 Swope_B CSP_VEGA
54073.102 1.4464508300922603e-16 6.527929193473831e-18 -20.496240812372445 Swope_B CSP_VEGA
54075.128 1.0315818087692532e-16 4.27554881113665e-18 -20.496240812372445 Swope_B CSP_VEGA
54079.14 6.136258900622263e-17 2.034613191070779e-18 -20.496240812372445 Swope_B CSP_VEGA
54060.145 3.747710687561132e-16 1.2426368777327125e-17 -20.14458485692423 Swope_u CSP_BD17
54065.078 2.7426226431385685e-16 9.59898546097417e-18 -20.14458485692423 Swope_u CSP_BD17
54060.152 2.293898856951442e-16 2.746586602683285e-18 -20.78356433753004 Swope_g CSP_BD17
54065.085 2.439912573110737e-16 2.02251827485927e-18 -20.78356433753004 Swope_g CSP_BD17
54073.115 1.3383640577874581e-16 3.698036554152507e-18 -20.78356433753004 Swope_g CSP_BD17
54075.106 1.0928844960491928e-16 3.1204098407193055e-18 -20.78356433753004 Swope_g CSP_BD17
54079.154 6.312105732031198e-17 1.395279414141821e-18 -20.78356433753004 Swope_g CSP_BD17
54084.052 3.716843412240243e-17 1.3008689315706609e-18 -20.78356433753004 Swope_g CSP_BD17
54087.055 2.7300730320588695e-17 9.303613690277635e-19 -20.78356433753004 Swope_g CSP_BD17
54092.092 2.0444395082418964e-17 9.97989138263644e-19 -20.78356433753004 Swope_g CSP_BD17
54060.157 1.2566176322818582e-16 1.620342655503981e-18 -21.373992126891217 Swope_r CSP_BD17
54065.09 1.44811532387845e-16 1.4671398533874554e-18 -21.373992126891217 Swope_r CSP_BD17
54073.12 1.0432854467138419e-16 2.210073235953652e-18 -21.373992126891217 Swope_r CSP_BD17
54075.11 9.044887078342827e-17 1.7494362609701595e-18 -21.373992126891217 Swope_r CSP_BD17
54079.159 7.841572267461331e-17 1.1555767941562866e-18 -21.373992126891217 Swope_r CSP_BD17
54084.056 6.086997862452379e-17 1.3455197317602689e-18 -21.373992126891217 Swope_r CSP_BD17
54087.059 4.795160512319963e-17 9.71631330047984e-19 -21.373992126891217 Swope_r CSP_BD17
54092.098 3.259891527740203e-17 9.007413163862613e-19 -21.373992126891217 Swope_r CSP_BD17
54100.062 2.6816565124573795e-17 2.34640207784361e-18 -21.373992126891217 Swope_r CSP_BD17
54104.054 2.032371748425648e-17 1.1231301339233139e-18 -21.373992126891217 Swope_r CSP_BD17
54108.066 1.9624705547833736e-17 5.422506533860741e-19 -21.373992126891217 Swope_r CSP_BD17
54112.087 1.742621826230049e-17 6.741058866869663e-19 -21.373992126891217 Swope_r CSP_BD17
54121.064 1.6368283906840788e-17 9.497720363490054e-19 -21.373992126891217 Swope_r CSP_BD17
54060.162 6.742930695497947e-17 1.1799890493934614e-18 -21.820878260054094 Swope_i CSP_BD17
54065.095 6.687267500735152e-17 1.1702481869642797e-18 -21.820878260054094 Swope_i CSP_BD17
54073.125 4.0294771372114566e-17 1.3360628143732927e-18 -21.820878260054094 Swope_i CSP_BD17
54075.114 3.519238466450822e-17 1.0696416761633973e-18 -21.820878260054094 Swope_i CSP_BD17
54079.163 4.157657364742393e-17 1.1870966238592603e-18 -21.820878260054094 Swope_i CSP_BD17
54084.061 4.282020044951344e-17 1.5381156216514391e-18 -21.820878260054094 Swope_i CSP_BD17
54087.064 3.66816359177303e-17 8.784109157283277e-19 -21.820878260054094 Swope_i CSP_BD17
54092.104 2.5144829548627108e-17 9.263697549527196e-19 -21.820878260054094 Swope_i CSP_BD17
54100.068 1.6160273104932827e-17 1.8754043590865987e-18 -21.820878260054094 Swope_i CSP_BD17
