name z ra dec
SN2007bm 0.0062 171.2596 -9.7983
time flux flux_err zp band mag_sys
54217.05 1.02044833803179e-15 7.518805151812708e-18 -23.117934027990714 Swope_Y CSP_VEGA
54220.18 1.270472154933197e-15 5.5709949192808394e-18 -23.117934027990714 Swope_Y CSP_VEGA
54228.0315 7.090223196524348e-16 9.077221349426419e-18 -23.117934027990714 Swope_Y CSP_VEGA
54233.05 5.757054277702182e-16 1.6608169475518068e-17 -23.117934027990714 Swope_Y CSP_VEGA
54237.103 6.063593818160971e-16 1.554193278355264e-17 -23.117934027990714 Swope_Y CSP_VEGA
54244.0985 1.040462396191685e-15 0.0 -23.117934027990714 Swope_Y CSP_VEGA
54254.111000000004 1.4911388664122188e-15 1.9226389539237297e-17 -23.117934027990714 Swope_Y CSP_VEGA
54277.97 4.0777097663845147e-16 7.32284614912706e-18 -23.117934027990714 Swope_Y CSP_VEGA
54217.068499999994 7.120473594202905e-16 4.429758380231666e-18 -23.769869182905325 Swope_J CSP_VEGA
54220.197499999995 8.579252065871962e-16 1.0447568470370037e-18 -23.769869182905325 Swope_J CSP_VEGA
54228.049 5.956349596790788e-16 2.383556729652264e-18 -23.769869182905325 Swope_J CSP_VEGA
54233.062 2.860568334479394e-16 3.4250850423207898e-18 -23.769869182905325 Swope_J CSP_VEGA
54233.071 2.951564830425543e-16 3.2621900061808097e-18 -23.769869182905325 Swope_J CSP_VEGA
54237.1195 1.885395455890691e-16 1.6496456206145623e-18 -23.769869182905325 Swope_J CSP_VEGA
54244.1155 2.278663848735459e-16 9.36579291365814e-19 -23.769869182905325 Swope_J CSP_VEGA
54254.0935 3.522492818501608e-16 6.488664224105446e-19 -23.769869182905325 Swope_J CSP_VEGA
54277.996 6.06581081161749e-17 1.2269910501173206e-18 -23.769869182905325 Swope_J CSP_VEGA
54217.0885 2.50141074773791e-16 2.522868163594649e-18 -24.80552658188723 Swope_H CSP_VEGA
54228.0695 2.0804347623919287e-16 1.9087673446602547e-19 -24.80552658188723 Swope_H CSP_VEGA
54233.079 1.8424230878732605e-16 2.545401562275017e-18 -24.80552658188723 Swope_H CSP_VEGA
54233.093 1.8526328788343257e-16 2.73014070374052e-18 -24.80552658188723 Swope_H CSP_VEGA
54237.138 1.9274777225175132e-16 0.0 -24.80552658188723 Swope_H CSP_VEGA
54244.144 2.5671118746576607e-16 2.0034742751233817e-18 -24.80552658188723 Swope_H CSP_VEGA
54254.0775 2.380945434044739e-16 1.8639539372587602e-18 -24.80552658188723 Swope_H CSP_VEGA
54278.021 7.372047483431382e-17 1.0184853504236046e-19 -24.80552658188723 Swope_H CSP_VEGA
54224.159 8.456509301532462e-15 3.115493161035862e-17 -21.04202217275901 Swope_V CSP_VEGA
54227.143 8.536265870794603e-15 1.8924951458580456e-17 -21.04202217275901 Swope_V CSP_VEGA
54229.067 8.30216061190884e-15 3.058629002339779e-17 -21.04202217275901 Swope_V CSP_VEGA
54231.15 7.762312643761567e-15 3.574677076136916e-17 -21.04202217275901 Swope_V CSP_VEGA
54235.097 6.4267459256875235e-15 4.7354013967834596e-17 -21.04202217275901 Swope_V CSP_VEGA
54239.115 4.91123969876807e-15 1.8093675709606277e-17 -21.04202217275901 Swope_V CSP_VEGA
54241.037 4.313115924220385e-15 2.3835159435516225e-17 -21.04202217275901 Swope_V CSP_VEGA
54249.037 2.813138606674384e-15 1.2954982040508954e-17 -21.04202217275901 Swope_V CSP_VEGA
54255.057 1.9106939607088822e-15 8.799070862404046e-18 -21.04202217275901 Swope_V CSP_VEGA
