ZTF18aaiykoz 0.03043089 239.497841 40.033895
filter ztfg
59067.205 18.753 0.040 
59067.213 18.661 0.042 
59067.214 18.696 0.045 
59067.215 18.771 0.050 
59067.316 18.618 0.088 
59067.336 18.752 0.114 
59068.183 18.861 0.038 
59068.183 18.883 0.032 
59068.196 18.778 0.031 
59068.226 18.824 0.055 
59069.185 18.797 0.029 
59069.186 18.772 0.034 
59069.298 18.772 0.067 
59069.344 18.959 0.127 
59070.219 18.812 0.033 
59070.220 18.887 0.034 
59070.245 18.837 0.039 
59070.246 18.834 0.040 
59070.321 18.805 0.069 
59070.335 19.029 0.097 
59071.215 18.841 0.037 
59071.217 18.944 0.039 
59072.215 18.876 0.035 
59072.240 18.865 0.044 
59072.243 18.927 0.040 
59072.244 18.843 0.042 
59072.343 19.094 0.163 
59073.226 18.972 0.044 
59073.237 18.966 0.044 
59073.238 19.097 0.045 
59073.238 18.851 0.039 
59073.318 18.926 0.075 
59073.319 18.927 0.074 
59074.198 18.879 0.039 
59074.199 18.960 0.043 
59074.199 19.014 0.042 
59074.227 18.932 0.039 
59075.198 18.948 0.045 
59075.207 19.107 0.059 
59076.183 19.001 0.043 
59076.184 18.951 0.040 
59077.224 18.922 0.064 
59077.225 19.141 0.075 
59077.233 19.103 0.053 
59077.243 19.043 0.060 
59078.206 18.975 0.044 
59078.206 19.024 0.048 
59078.221 19.020 0.047 
59078.221 19.030 0.050 
59079.166 19.041 0.050 
59079.167 19.044 0.044 
59079.167 19.038 0.044 
59079.176 19.014 0.039 
59079.182 19.024 0.043 
59081.216 19.043 0.062 
59081.216 19.058 0.068 
59081.248 19.021 0.079 
59081.296 19.096 0.107 
59082.286 19.337 0.144 
59084.173 19.173 0.058 
59084.179 19.147 0.063 
59085.250 19.018 0.054 
59085.260 19.164 0.075 
59085.262 19.174 0.069 
59086.194 19.208 0.072 
59086.200 19.181 0.066 
59086.285 19.185 0.098 
59086.286 19.099 0.098 
59087.174 19.033 0.069 
59087.183 19.305 0.102 
59088.255 19.116 0.164 
59088.260 19.166 0.172 
59088.275 19.520 0.297 
59088.293 19.295 0.267 
59089.243 19.245 0.189 
59089.244 19.609 0.297 
59090.238 19.242 0.126 
59090.240 19.027 0.117 
59090.251 19.263 0.148 
59091.214 19.065 0.101 
59091.215 19.186 0.118 
59091.252 19.126 0.126 
59091.272 19.198 0.150 
59092.254 19.372 0.194 
59092.255 19.399 0.196 
59093.155 18.968 0.100 
59093.155 19.373 0.148 
59093.165 19.082 0.110 
59093.184 18.794 0.101 
59094.185 19.291 0.164 
59094.186 19.190 0.141 
59094.186 19.380 0.176 
59094.187 19.303 0.160 
filter ztfr
59008.348 19.327 0.114 
59009.223 18.740 0.064 
59009.224 18.902 0.085 
59009.224 18.945 0.079 
59009.225 19.229 0.109 
59011.262 17.753 0.023 
59011.267 17.735 0.019 
59012.248 17.399 0.013 
59012.259 17.359 0.014 
59012.260 17.382 0.014 
59012.269 17.437 0.016 
59012.270 17.425 0.017 
59012.282 17.452 0.021 
59013.317 17.126 0.013 
59013.317 17.078 0.011 
59013.335 17.068 0.012 
59014.239 16.905 0.010 
59014.240 16.890 0.009 
59014.268 16.942 0.012 
59015.319 16.743 0.010 
59015.319 16.711 0.009 
59015.320 16.750 0.013 
59017.263 16.482 0.008 
59017.284 16.518 0.008 
59019.238 16.298 0.009 
59019.248 16.393 0.015 
59020.255 16.272 0.009 
59020.262 16.333 0.011 
59020.286 16.312 0.009 
59022.236 16.192 0.006 
59022.237 16.183 0.007 
59022.247 16.240 0.008 
59022.248 16.211 0.009 
59022.261 16.192 0.001 
59022.262 16.240 0.008 
59023.200 16.189 0.009 
59023.300 16.219 0.007 
59023.300 16.180 0.006 
59024.268 16.229 0.010 
59025.186 16.152 0.008 
59025.187 16.163 0.008 
59025.197 16.208 0.011 
59025.198 16.109 0.008 
59025.202 16.101 0.006 
59025.368 16.171 0.008 
59027.260 16.148 0.008 
59027.260 16.212 0.008 
59027.286 16.201 0.010 
59027.287 16.138 0.009 
59028.225 16.181 0.010 
59028.226 16.214 0.010 
59028.240 16.216 0.009 
59028.246 16.189 0.007 
59028.248 16.209 0.010 
59028.266 16.206 0.006 
59028.266 16.258 0.010 
59029.217 16.249 0.012 
59029.221 16.291 0.012 
59031.225 16.338 0.011 
59031.234 16.311 0.011 
59031.370 16.264 0.011 
59031.371 16.346 0.013 
59032.226 16.368 0.009 
59032.349 16.361 0.011 
59032.349 16.348 0.013 
59033.186 16.412 0.011 
59033.186 16.483 0.013 
59033.354 16.463 0.014 
59034.270 16.480 0.012 
59034.330 16.496 0.012 
59034.330 16.538 0.012 
59034.331 16.507 0.013 
59034.344 16.554 0.013 
59034.357 16.504 0.014 
59035.312 16.637 0.014 
59035.313 16.626 0.017 
59035.365 16.622 0.015 
59035.367 16.555 0.017 
59036.268 16.694 0.013 
59036.269 16.636 0.013 
59036.362 16.678 0.015 
59037.199 16.803 0.018 
59037.204 16.749 0.019 
59037.206 16.805 0.017 
59037.361 16.707 0.014 
59038.200 16.768 0.011 
59038.363 16.864 0.018 
59038.393 16.905 0.024 
59039.223 16.854 0.011 
59039.224 16.831 0.010 
59039.253 16.895 0.015 
59039.254 16.844 0.010 
59040.276 16.946 0.011 
59040.277 16.882 0.013 
59040.278 16.895 0.012 
59041.237 16.867 0.011 
59041.238 16.979 0.017 
59041.256 16.893 0.012 
59041.272 16.951 0.011 
59042.220 16.916 0.012 
59042.220 16.936 0.013 
59042.237 16.927 0.012 
59042.238 16.974 0.011 
59043.250 16.976 0.012 
59043.264 16.904 0.012 
59043.264 17.057 0.017 
59043.264 16.912 0.012 
59044.220 16.980 0.010 
59044.221 17.035 0.013 
59044.232 16.925 0.010 
59044.392 17.049 0.020 
59044.393 17.060 0.020 
59045.197 16.998 0.011 
59045.199 17.048 0.013 
59045.222 16.981 0.010 
59045.223 17.027 0.012 
59045.223 16.937 0.010 
59046.198 17.001 0.012 
59046.199 16.998 0.011 
59046.206 17.022 0.012 
59046.207 17.018 0.012 
59046.385 16.984 0.016 
59046.409 16.979 0.018 
59047.220 16.992 0.012 
59047.220 17.020 0.016 
59047.221 16.972 0.010 
59047.408 17.073 0.020 
59048.204 17.028 0.015 
59048.205 17.006 0.010 
59048.206 17.018 0.011 
59048.383 17.008 0.020 
59048.383 17.035 0.017 
59049.176 17.020 0.013 
59049.177 17.015 0.012 
59049.179 17.118 0.015 
59049.350 17.056 0.015 
59050.271 17.043 0.013 
59050.288 17.096 0.013 
59050.289 17.064 0.013 
59050.310 17.092 0.015 
59050.311 17.047 0.014 
59051.198 17.054 0.013 
59051.245 17.064 0.012 
59051.250 17.057 0.014 
59051.351 17.148 0.016 
59051.360 17.080 0.015 
59052.170 17.026 0.011 
59052.173 17.099 0.018 
59052.257 17.015 0.013 
59052.258 17.085 0.011 
59052.259 17.089 0.012 
59052.260 17.108 0.013 
59052.366 17.146 0.019 
59052.368 17.061 0.013 
59053.309 17.070 0.012 
59053.309 17.126 0.012 
59054.206 17.163 0.014 
59054.206 17.123 0.013 
59054.207 17.089 0.012 
59054.349 17.174 0.016 
59054.350 17.175 0.016 
59055.202 17.178 0.013 
59055.203 17.155 0.013 
59055.246 17.147 0.012 
59055.326 17.198 0.015 
59055.327 17.187 0.016 
59056.196 17.196 0.014 
59056.196 17.227 0.018 
59057.178 17.230 0.018 
59057.179 17.265 0.015 
59057.179 17.263 0.014 
59057.342 17.261 0.018 
59057.343 17.250 0.019 
59059.166 17.396 0.019 
59059.179 17.340 0.017 
59059.180 17.390 0.024 
59059.343 17.391 0.024 
59059.344 17.382 0.022 
59060.205 17.364 0.018 
59061.255 17.497 0.021 
59061.267 17.440 0.023 
59061.335 17.461 0.027 
59061.355 17.537 0.033 
59062.222 17.546 0.023 
59062.224 17.595 0.025 
59062.225 17.565 0.026 
59062.246 17.518 0.025 
59062.320 17.621 0.039 
59062.323 17.616 0.042 
59063.159 17.636 0.026 
59063.164 17.559 0.025 
59063.178 17.694 0.036 
59063.179 17.568 0.024 
59063.343 17.702 0.055 
59063.362 17.792 0.081 
59064.277 17.747 0.044 
59064.278 17.724 0.047 
59064.291 17.790 0.057 
59064.292 17.866 0.064 
59064.335 17.736 0.063 
59065.161 17.765 0.034 
59065.172 17.784 0.035 
59065.173 17.753 0.034 
59065.174 17.841 0.041 
59065.344 17.854 0.083 
59066.223 17.791 0.029 
59066.223 17.881 0.035 
59066.224 17.805 0.032 
59066.224 17.750 0.028 
59067.159 17.794 0.022 
59067.159 17.807 0.025 
59067.176 17.896 0.023 
59067.177 17.880 0.018 
59067.299 17.883 0.036 
59068.240 17.864 0.028 
59068.241 17.885 0.031 
59068.266 17.919 0.034 
59068.267 17.892 0.035 
59068.345 17.922 0.061 
59069.197 17.917 0.023 
59069.200 17.948 0.020 
59069.219 17.862 0.023 
59070.181 17.890 0.023 
59070.182 17.907 0.021 
59070.182 18.057 0.028 
59070.198 17.982 0.024 
59070.303 17.972 0.035 
59071.184 18.080 0.032 
59071.185 17.928 0.025 
59071.324 18.023 0.039 
59071.351 18.112 0.065 
59072.182 18.044 0.028 
59072.182 18.075 0.027 
59072.185 17.990 0.029 
59072.196 17.974 0.025 
59072.322 18.282 0.054 
59073.180 18.134 0.031 
59073.181 18.071 0.030 
59073.182 17.991 0.027 
59073.209 18.087 0.026 
59074.182 18.196 0.034 
59074.184 17.979 0.036 
59074.184 18.234 0.040 
59075.220 18.164 0.033 
59075.222 18.055 0.030 
59075.301 18.305 0.050 
59075.303 18.151 0.044 
59076.204 18.170 0.027 
59076.205 18.122 0.027 
59077.154 18.105 0.031 
59077.154 18.222 0.036 
59077.260 18.199 0.035 
59078.179 18.153 0.026 
59078.179 18.200 0.029 
59078.282 18.156 0.036 
59078.284 18.386 0.053 
59079.205 18.212 0.031 
59079.206 18.257 0.033 
59079.228 18.313 0.042 
59079.300 18.377 0.059 
59079.301 18.329 0.053 
59080.167 18.212 0.038 
59080.182 18.318 0.043 
59080.301 18.390 0.078 
59080.302 18.329 0.070 
59081.174 18.231 0.038 
59081.175 18.327 0.040 
59082.166 18.479 0.038 
59082.175 18.453 0.048 
59082.258 18.313 0.060 
59082.259 18.373 0.063 
59084.197 18.526 0.062 
59084.208 18.483 0.054 
59084.285 18.339 0.071 
59085.177 18.539 0.074 
59086.163 18.470 0.046 
59086.164 18.461 0.047 
59086.175 18.349 0.039 
59086.186 18.478 0.051 
59087.156 18.514 0.057 
59087.157 18.511 0.054 
59087.260 18.463 0.085 
59087.276 18.643 0.110 
59088.165 18.484 0.074 
59088.180 18.580 0.075 
59088.181 18.531 0.073 
59089.140 18.772 0.099 
59089.141 18.635 0.085 
59089.218 18.607 0.095 
59090.161 18.492 0.063 
59090.165 18.565 0.063 
59091.205 18.757 0.082 
59091.205 18.712 0.071 
59092.216 18.618 0.082 
59092.217 18.642 0.077 
59092.231 18.681 0.083 
59092.231 18.790 0.092 
59093.137 18.614 0.073 
59093.141 18.679 0.074 
59093.204 18.881 0.114 
59093.204 18.842 0.107 
59093.206 18.752 0.097 
59094.160 18.865 0.089 
59094.161 18.752 0.095 
59094.161 18.742 0.085 
59094.285 18.921 0.223 
59094.286 18.992 0.249 
filter ztfi
59008.358 19.360 0.102 
59008.371 19.661 0.156 
59009.321 19.140 0.092 
59009.322 19.018 0.072 
59011.225 18.069 0.024 
59011.226 18.150 0.029 
59011.358 17.938 0.026 
59012.336 17.619 0.017 
59012.349 17.788 0.021 
59012.357 17.681 0.019 
59012.369 17.709 0.019 
59013.264 17.457 0.014 
59014.281 17.231 0.011 
59014.290 17.260 0.013 
59014.311 17.295 0.013 
59014.311 17.227 0.010 
59015.176 17.088 0.012 
59015.177 17.073 0.011 
59015.202 17.107 0.011 
59015.202 17.090 0.011 
59016.281 16.941 0.011 
59016.282 17.052 0.013 
59016.300 16.925 0.011 
59017.183 16.916 0.009 
59017.184 16.897 0.010 
59017.201 16.906 0.009 
59017.341 16.934 0.011 
59018.279 16.861 0.009 
59018.286 16.853 0.010 
59018.299 16.854 0.009 
59018.300 16.864 0.009 
59019.202 16.823 0.010 
59019.300 16.821 0.008 
59019.301 16.877 0.010 
59020.306 16.884 0.010 
59020.307 16.795 0.008 
59020.315 16.822 0.009 
59020.327 16.829 0.009 
59021.172 16.817 0.010 
59022.278 16.820 0.007 
59022.278 16.911 0.008 
59022.295 16.856 0.008 
59022.307 16.885 0.009 
59023.262 16.837 0.009 
59023.268 16.915 0.012 
59023.277 16.971 0.011 
59023.278 16.849 0.009 
59024.295 16.862 0.014 
59025.265 16.921 0.009 
59025.266 17.057 0.015 
59025.274 16.987 0.010 
59025.275 16.908 0.009 
59026.305 17.063 0.011 
59026.306 16.933 0.009 
