survey,filter,magnitudes,errors
PS1,i,14.287738609126885,0.015130747297238437
2MASS,H,24.168749463881824,0.004704398528017718
PS1,z,14.208462836569936,0.015432423246706415
PS1,y,14.230533505928234,0.020346130744126865
2MASS,Ks,22.14827367675748,0.00559743356853443
2MASS,J,17.014657047971646,0.004404794200372618
PS1,g,15.079983133220281,0.01552527281116504
PS1,r,14.48377649739662,0.014098668975676763
