survey,filter,magnitudes,errors
GALEX,NUV,20.97413982838487,0.1668742222916236
PS1,i,18.855443778579794,0.028166574922515702
GALEX,FUV,20.97123136131502,0.27347614073497517
2MASS,H,27.233359334549398,0.034247279609105286
PS1,z,18.688285142135495,0.044253743360865926
PS1,y,18.138784594583537,0.06613573265320076
2MASS,J,19.72789360736192,0.02594615057378209
PS1,g,19.67957005265998,0.07002405473007638
PS1,r,19.026338150923625,0.03168006753369475
